QueryID	DocID	Rank	Score
1	486	1	20.119134237971810
1	13	2	18.029652117379527
1	184	3	17.861152656619193
1	51	4	16.102725220535181
1	746	5	15.736615977466947
1	359	6	14.590144564103138
1	875	7	14.337595315894504
1	792	8	13.819881915805791
1	12	9	12.593065136831367
1	1340	10	12.223377242100122
1	747	11	11.729302052024234
1	879	12	11.054504962222124
1	56	13	11.025506398568343
1	141	14	10.412669187881818
1	1144	15	10.337427520417421
1	878	16	9.959674618750091
1	435	17	9.788867458721297
1	606	18	9.560947824704163
1	663	19	9.454147950107977
1	315	20	9.286856452304800
1	584	21	9.243871843270057
2	746	1	23.944917316535637
2	12	2	23.190994759132273
2	792	3	17.700232350868035
2	700	4	14.852097825709153
2	810	5	14.445765233696912
2	141	6	14.070490948129297
2	51	7	13.068464778196963
2	1380	8	12.248036642815979
2	92	9	12.026200366566835
2	909	10	11.462833204389561
2	47	11	11.442249752294989
2	606	12	11.417309136353611
2	883	13	11.312698912081252
2	184	14	11.218137288705314
2	725	15	10.847245481054646
2	1379	16	10.398932761282044
2	875	17	10.355809991514226
2	497	18	10.109996371036949
2	1012	19	10.046316473466948
2	712	20	9.859896075585308
3	399	1	24.975905189163754
3	144	2	22.451345439076484
3	485	3	21.850946334497863
3	5	4	16.857317938636569
3	91	5	16.839711496660065
3	90	6	16.734923680762993
3	181	7	15.238196874300630
3	6	8	11.533236885079098
4	166	1	32.830251175773341
4	488	2	28.582961185089722
5	552	1	17.266788443441815
5	103	2	10.650812172224800
5	1032	3	10.136178465122034
5	968	4	9.741130184093503
6	491	1	14.834697035440984
6	386	2	10.796170111483425
6	385	3	10.288996957224850
6	1273	4	9.557092045936026
7	492	1	35.975294960620886
7	57	2	14.339828034401670
7	48	3	14.028697901166892
7	248	4	12.778650121992495
8	492	1	21.949903779861973
8	232	2	17.067071115841387
8	69	3	15.919352041393772
8	122	4	14.416796857281874
8	441	5	14.359178773788480
8	248	6	14.097878986552537
8	469	7	13.484679804083701
8	1193	8	13.116054799934901
8	461	9	12.889744693338535
8	354	10	12.498753815846914
8	556	11	12.450741400678432
9	45	1	9.707135511167644
9	168	2	9.673700866504120
9	5	3	8.799629562842703
10	302	1	20.601924848182815
10	1143	2	17.495471182163932
10	493	3	16.736704289138949
10	691	4	15.759120509034402
10	949	5	14.593267092415200
10	1214	6	12.931595794294509
10	1286	7	12.677914927701327
10	1274	8	12.218981691702147
11	495	1	24.834280746076988
11	654	2	14.257972393481168
11	1327	3	13.826154808795891
11	160	4	13.254373589643148
12	624	1	29.100486429437019
12	941	2	10.033067942953885
12	34	3	9.497171499071129
12	1222	4	9.492689117288585
13	496	1	26.110360941218964
13	313	2	12.869717942738035
14	64	1	16.600155437707848
15	82	1	9.429833934718502
15	463	2	8.028202546669384
16	106	1	22.978124133029660
16	498	2	21.140005022886442
16	231	3	14.009028171912840
17	106	1	22.978124133029660
17	498	2	15.005031472247550
18	248	1	19.176663174363654
18	57	2	16.598955916235958
18	492	3	15.201892377321201
19	1242	1	13.471672754176575
19	172	2	12.484836224559473
19	706	3	11.132470368493607
19	1346	4	9.724489014761780
19	732	5	8.271726382676674
19	1347	6	7.996345499567610
19	66	7	7.916633492335246
20	500	1	35.920134185101531
20	88	2	22.746074815515811
20	268	3	22.380581218359566
20	87	4	18.669645564229430
20	270	5	17.775826084072275
20	450	6	11.469396538421275
20	269	7	10.798576499605986
20	396	8	10.711766850581569
20	912	9	10.427944453085091
21	502	1	18.851632429324312
21	68	2	15.190209825305420
