Query_ID	Doc_ID	Rank	Score
1	1313	1	23.0
1	131	2	22.5
1	798	3	22.5
1	792	4	22.0
1	1147	5	21.5
1	1144	6	19.0
1	640	7	19.0
1	262	8	18.0
1	14	9	17.5
1	717	10	17.5
1	244	11	17.0
1	576	12	17.0
1	826	13	17.0
1	1047	14	16.5
1	1201	15	16.0
1	499	16	16.0
1	89	17	16.0
1	927	18	16.0
1	928	19	16.0
1	1239	20	15.5
1	588	21	15.5
1	695	22	15.5
1	721	23	15.5
1	83	24	15.5
1	1268	25	15.0
1	193	26	15.0
1	373	27	15.0
1	673	28	15.0
1	1277	29	14.5
1	51	30	14.5
1	658	31	14.5
1	730	32	14.5
1	1392	33	14.0
1	433	34	14.0
1	73	35	14.0
1	82	36	14.0
1	874	37	14.0
1	1040	38	13.5
1	140	39	13.5
1	151	40	13.5
1	156	41	13.5
1	662	42	13.5
1	704	43	13.5
1	710	44	13.5
1	96	45	13.5
1	962	46	13.5
1	1244	47	13.0
1	329	48	13.0
1	344	49	13.0
1	417	50	13.0
1	1335	51	12.5
1	210	52	12.5
1	675	53	12.5
1	946	54	12.5
1	947	55	12.5
1	992	56	12.5
1	1104	57	12.0
1	1119	58	12.0
1	1167	59	12.0
1	1218	60	12.0
1	1226	61	12.0
1	1292	62	12.0
1	189	63	12.0
1	225	64	12.0
1	277	65	12.0
1	315	66	12.0
1	33	67	12.0
1	414	68	12.0
1	49	69	12.0
1	811	70	12.0
1	9	71	12.0
1	99	72	12.0
1	100	73	11.5
1	1039	74	11.5
1	1072	75	11.5
1	114	76	11.5
1	12	77	11.5
1	170	78	11.5
1	300	79	11.5
1	442	80	11.5
1	56	81	11.5
1	712	82	11.5
1	85	83	11.5
1	889	84	11.5
1	124	85	11.0
1	1300	86	11.0
1	1322	87	11.0
1	1325	88	11.0
1	1342	89	11.0
1	1375	90	11.0
1	172	91	11.0
1	197	92	11.0
1	213	93	11.0
1	216	94	11.0
1	234	95	11.0
1	29	96	11.0
1	423	97	11.0
1	625	98	11.0
1	828	99	11.0
1	917	100	11.0
1	94	101	11.0
1	991	102	11.0
1	1061	103	10.5
1	1108	104	10.5
1	1252	105	10.5
1	132	106	10.5
1	1321	107	10.5
1	1341	108	10.5
1	1352	109	10.5
1	1383	110	10.5
1	198	111	10.5
1	202	112	10.5
1	204	113	10.5
1	232	114	10.5
1	25	115	10.5
1	272	116	10.5
1	274	117	10.5
1	325	118	10.5
1	364	119	10.5
