Query_ID	Doc_ID	Rank	Score
1	1147	1	24.0
1	798	2	24.0
1	1313	3	23.5
1	874	4	23.0
1	131	5	23.0
1	792	6	23.0
1	51	7	22.0
1	717	8	21.5
1	640	9	20.0
1	262	10	20.0
1	244	11	19.5
1	1201	12	19.5
1	576	13	19.0
1	1144	14	19.0
1	329	15	19.0
1	193	16	18.5
1	14	17	18.0
1	662	18	18.0
1	826	19	17.5
1	1040	20	17.5
1	695	21	17.5
1	927	22	17.5
1	962	23	17.0
1	928	24	17.0
1	1047	25	16.5
1	1268	26	16.5
1	721	27	16.5
1	89	28	16.5
1	433	29	16.0
1	82	30	16.0
1	1104	31	16.0
1	588	32	16.0
1	83	33	16.0
1	499	34	16.0
1	1277	35	15.5
1	49	36	15.5
1	1239	37	15.5
1	1226	38	15.0
1	73	39	15.0
1	673	40	15.0
1	272	41	15.0
1	373	42	15.0
1	315	43	14.5
1	658	44	14.5
1	56	45	14.5
1	414	46	14.5
1	730	47	14.5
1	1244	48	14.5
1	140	49	14.5
1	344	50	14.5
1	96	51	14.5
1	976	52	14.0
1	94	53	14.0
1	1392	54	14.0
1	704	55	14.0
1	1335	56	14.0
1	486	57	14.0
1	156	58	14.0
1	1263	59	13.5
1	9	60	13.5
1	625	61	13.5
1	29	62	13.5
1	33	63	13.5
1	710	64	13.5
1	712	65	13.5
1	417	66	13.5
1	151	67	13.5
1	300	68	13.5
1	947	69	13.5
1	325	70	13.0
1	572	71	13.0
1	225	72	13.0
1	85	73	13.0
1	114	74	13.0
1	77	75	13.0
1	811	76	13.0
1	1300	77	13.0
1	1292	78	13.0
1	252	79	13.0
1	675	80	12.5
1	1072	81	12.5
1	1307	82	12.5
1	170	83	12.5
1	992	84	12.5
1	395	85	12.5
1	946	86	12.5
1	274	87	12.5
1	638	88	12.5
1	1061	89	12.5
1	216	90	12.5
1	210	91	12.5
1	1218	92	12.5
1	435	93	12.0
1	332	94	12.0
1	80	95	12.0
1	707	96	12.0
1	189	97	12.0
1	342	98	12.0
1	1167	99	12.0
1	12	100	12.0
1	991	101	12.0
1	1328	102	12.0
1	1119	103	12.0
1	197	104	12.0
1	99	105	12.0
1	564	106	12.0
1	277	107	12.0
1	364	108	12.0
1	25	109	12.0
1	110	110	11.5
1	423	111	11.5
1	442	112	11.5
1	1322	113	11.5
1	1039	114	11.5
1	172	115	11.5
1	163	116	11.5
1	522	117	11.5
1	1375	118	11.5
1	1325	119	11.5
1	294	120	11.5
1	889	121	11.5
1	773	122	11.5
1	213	123	11.5
1	100	124	11.5
1	240	125	11.5
1	917	126	11.5
1	44	127	11.0
1	1342	128	11.0
1	466	129	11.0
1	1341	130	11.0
1	1154	131	11.0
1	1381	132	11.0
1	1164	133	11.0
1	1097	134	11.0
1	493	135	11.0
1	828	136	11.0
1	1352	137	11.0
1	1321	138	11.0
1	980	139	11.0
1	872	140	11.0
1	124	141	11.0
1	747	142	11.0
1	62	143	11.0
1	45	144	11.0
1	234	145	11.0
1	334	146	11.0
1	656	147	11.0
1	204	148	11.0
1	202	149	11.0
1	685	150	11.0
1	101	151	11.0
1	563	152	10.5
1	801	153	10.5
1	982	154	10.5
1	1351	155	10.5
1	987	156	10.5
1	160	157	10.5
1	1035	158	10.5
1	453	159	10.5
1	206	160	10.5
1	166	161	10.5
1	1383	162	10.5
1	92	163	10.5
1	132	164	10.5
1	1114	165	10.5
1	529	166	10.5
1	328	167	10.5
1	219	168	10.5
1	767	169	10.5
1	786	170	10.5
1	1108	171	10.5
1	934	172	10.5
1	198	173	10.5
1	806	174	10.5
1	165	175	10.5
1	1252	176	10.5
1	1338	177	10.5
1	253	178	10.5
1	232	179	10.5
1	42	180	10.0
1	876	181	10.0
1	155	182	10.0
1	452	183	10.0
1	797	184	10.0
1	187	185	10.0
1	164	186	10.0
1	540	187	10.0
1	1356	188	10.0
1	1246	189	10.0
1	1115	190	10.0
1	1380	191	10.0
1	434	192	10.0
1	185	193	10.0
1	739	194	10.0
1	822	195	10.0
1	560	196	10.0
1	1082	197	10.0
1	212	198	10.0
1	665	199	10.0
1	184	200	10.0
2	1201	1	85.5
2	798	2	78.0
2	1313	3	69.5
2	329	4	65.0
2	927	5	53.5
2	792	6	52.0
2	499	7	50.5
2	417	8	50.0
2	89	9	49.5
2	673	10	48.0
2	452	11	47.5
2	721	12	47.0
2	1040	13	47.0
2	94	14	45.5
2	1239	15	45.5
2	73	16	45.0
2	1147	17	45.0
2	131	18	44.5
2	433	19	43.0
2	160	20	42.5
2	1144	21	42.5
2	1244	22	41.5
2	244	23	41.0
2	1047	24	40.5
2	522	25	39.5
2	826	26	39.5
2	364	27	39.5
2	576	28	39.0
2	874	29	39.0
2	928	30	39.0
2	757	31	38.5
2	262	32	38.5
2	140	33	38.0
2	992	34	37.5
2	315	35	37.5
2	199	36	37.5
2	1072	37	37.0
2	1392	38	37.0
2	85	39	37.0
2	33	40	36.5
2	234	41	36.5
2	695	42	36.5
2	640	43	36.5
2	272	44	36.5
2	14	45	36.0
2	132	46	36.0
2	827	47	36.0
2	423	48	35.5
2	225	49	35.5
2	1198	50	35.0
2	731	51	34.5
2	976	52	34.5
2	730	53	34.5
2	662	54	34.5
2	210	55	34.5
2	49	56	34.0
2	797	57	34.0
2	193	58	34.0
2	189	59	34.0
2	1061	60	34.0
2	99	61	34.0
2	1209	62	34.0
2	1226	63	33.5
2	1382	64	33.5
2	83	65	33.5
2	344	66	33.5
2	1248	67	33.0
2	625	68	33.0
2	962	69	33.0
2	466	70	33.0
2	599	71	33.0
2	51	72	33.0
2	1268	73	33.0
2	82	74	33.0
2	712	75	33.0
2	151	76	33.0
2	96	77	33.0
2	373	78	33.0
2	675	79	32.5
2	206	80	32.5
2	170	81	32.5
2	1375	82	32.5
2	572	83	32.5
2	155	84	32.0
2	173	85	32.0
2	588	86	32.0
2	165	87	32.0
2	277	88	32.0
2	1164	89	31.5
2	658	90	31.5
2	1202	91	31.5
2	1082	92	31.5
2	1277	93	31.0
2	110	94	31.0
2	157	95	31.0
2	811	96	31.0
2	1370	97	31.0
2	25	98	31.0
2	947	99	31.0
