Query_ID	Doc_ID	Rank	Score
1	1147	1	25.5
1	798	2	25.5
1	792	3	25.5
1	874	4	25.0
1	51	5	24.0
1	1313	6	23.5
1	131	7	23.5
1	717	8	22.5
1	1201	9	21.0
1	244	10	20.5
1	640	11	20.5
1	262	12	20.5
1	193	13	20.0
1	1144	14	20.0
1	662	15	19.5
1	695	16	19.5
1	927	17	19.5
1	576	18	19.0
1	329	19	19.0
1	82	20	18.5
1	433	21	18.0
1	962	22	18.0
1	826	23	18.0
1	1268	24	18.0
1	56	25	18.0
1	14	26	18.0
1	1040	27	18.0
1	928	28	17.5
1	1047	29	17.0
1	721	30	17.0
1	1104	31	17.0
1	89	32	17.0
1	1226	33	16.5
1	83	34	16.5
1	499	35	16.5
1	1277	36	16.0
1	49	37	16.0
1	315	38	16.0
1	73	39	16.0
1	588	40	16.0
1	300	41	16.0
1	658	42	15.5
1	673	43	15.5
1	140	44	15.5
1	1239	45	15.5
1	96	46	15.5
1	373	47	15.5
1	435	48	15.0
1	976	49	15.0
1	29	50	15.0
1	1392	51	15.0
1	414	52	15.0
1	730	53	15.0
1	486	54	15.0
1	1244	55	15.0
1	272	56	15.0
1	252	57	15.0
1	1263	58	14.5
1	992	59	14.5
1	704	60	14.5
1	1335	61	14.5
1	710	62	14.5
1	991	63	14.5
1	712	64	14.5
1	344	65	14.5
1	1300	66	14.5
1	1292	67	14.5
1	156	68	14.5
1	947	69	14.5
1	9	70	14.0
1	94	71	14.0
1	1307	72	14.0
1	1167	73	14.0
1	946	74	14.0
1	638	75	14.0
1	1328	76	14.0
1	77	77	14.0
1	811	78	14.0
1	417	79	14.0
1	204	80	14.0
1	151	81	14.0
1	325	82	13.5
1	625	83	13.5
1	33	84	13.5
1	80	85	13.5
1	707	86	13.5
1	572	87	13.5
1	12	88	13.5
1	225	89	13.5
1	85	90	13.5
1	114	91	13.5
1	197	92	13.5
1	564	93	13.5
1	277	94	13.5
1	1218	95	13.5
1	442	96	13.0
1	170	97	13.0
1	395	98	13.0
1	189	99	13.0
1	274	100	13.0
1	1352	101	13.0
1	980	102	13.0
1	747	103	13.0
1	1061	104	13.0
1	99	105	13.0
1	174	106	13.0
1	240	107	13.0
1	675	108	12.5
1	1072	109	12.5
1	423	110	12.5
1	332	111	12.5
1	1322	112	12.5
1	1164	113	12.5
1	342	114	12.5
1	294	115	12.5
1	92	116	12.5
1	124	117	12.5
1	1119	118	12.5
1	216	119	12.5
1	808	120	12.5
1	100	121	12.5
1	210	122	12.5
1	364	123	12.5
1	917	124	12.5
1	685	125	12.5
1	801	126	12.0
1	110	127	12.0
1	1342	128	12.0
1	1039	129	12.0
1	466	130	12.0
1	1341	131	12.0
1	1381	132	12.0
1	172	133	12.0
1	163	134	12.0
1	1246	135	12.0
1	522	136	12.0
1	1375	137	12.0
1	1325	138	12.0
1	889	139	12.0
1	872	140	12.0
1	560	141	12.0
1	62	142	12.0
1	45	143	12.0
1	934	144	12.0
1	213	145	12.0
1	334	146	12.0
1	1338	147	12.0
1	101	148	12.0
1	25	149	12.0
1	563	150	11.5
1	1351	151	11.5
1	987	152	11.5
1	797	153	11.5
1	1154	154	11.5
1	206	155	11.5
1	493	156	11.5
1	828	157	11.5
1	1380	158	11.5
1	1321	159	11.5
1	529	160	11.5
1	815	161	11.5
1	773	162	11.5
1	767	163	11.5
1	234	164	11.5
1	211	165	11.5
1	198	166	11.5
1	806	167	11.5
1	202	168	11.5
1	686	169	11.5
1	253	170	11.5
1	232	171	11.5
1	982	172	11.0
1	876	173	11.0
1	44	174	11.0
1	766	175	11.0
1	57	176	11.0
1	160	177	11.0
1	187	178	11.0
1	1035	179	11.0
1	453	180	11.0
1	540	181	11.0
1	1097	182	11.0
1	166	183	11.0
1	1383	184	11.0
1	566	185	11.0
1	1115	186	11.0
1	434	187	11.0
1	1387	188	11.0
1	13	189	11.0
1	132	190	11.0
1	822	191	11.0
1	1114	192	11.0
1	1082	193	11.0
1	219	194	11.0
1	1163	195	11.0
1	665	196	11.0
1	1108	197	11.0
1	184	198	11.0
1	656	199	11.0
1	1303	200	11.0
2	1201	1	87.0
2	798	2	82.0
2	1313	3	70.0
2	329	4	65.0
2	927	5	56.0
2	792	6	55.0
2	499	7	51.5
2	417	8	51.0
2	89	9	50.5
2	673	10	49.5
2	452	11	47.5
2	721	12	47.5
2	1040	13	47.5
2	73	14	47.0
2	1147	15	46.5
2	433	16	46.0
2	94	17	46.0
2	1239	18	45.5
2	131	19	45.0
2	1144	20	43.5
2	160	21	42.5
2	244	22	42.5
2	1244	23	42.5
2	1047	24	41.5
2	874	25	41.5
2	757	26	41.0
2	364	27	41.0
2	992	28	40.5
2	826	29	40.5
2	928	30	40.5
2	522	31	40.0
2	576	32	39.5
2	1392	33	39.5
2	315	34	39.5
2	140	35	39.5
2	695	36	39.5
2	262	37	39.5
2	85	38	38.0
2	199	39	38.0
2	640	40	38.0
2	1072	41	37.5
2	827	42	37.5
2	423	43	37.0
2	731	44	37.0
2	33	45	37.0
2	225	46	37.0
2	234	47	37.0
2	797	48	36.5
2	14	49	36.5
2	132	50	36.5
2	662	51	36.5
2	272	52	36.5
2	976	53	36.0
2	1198	54	36.0
2	49	55	36.0
2	1382	56	36.0
2	82	57	36.0
2	99	58	36.0
2	1226	59	35.5
2	193	60	35.5
2	206	61	35.5
2	730	62	35.5
2	466	63	35.0
2	51	64	35.0
2	189	65	35.0
2	1082	66	35.0
2	83	67	35.0
2	712	68	35.0
2	1061	69	35.0
2	1209	70	35.0
2	675	71	34.5
2	1164	72	34.5
2	170	73	34.5
2	277	74	34.5
2	210	75	34.5
2	96	76	34.5
2	373	77	34.5
2	1248	78	34.0
2	962	79	34.0
2	599	80	34.0
2	1268	81	34.0
2	173	82	34.0
2	151	83	34.0
2	155	84	33.5
2	625	85	33.5
2	1375	86	33.5
2	572	87	33.5
2	344	88	33.5
2	1343	89	33.0
2	658	90	33.0
2	548	91	32.5
2	946	92	32.5
2	588	93	32.5
2	811	94	32.5
2	218	95	32.5
2	434	96	32.0
2	198	97	32.0
2	165	98	32.0
2	947	99	32.0
2	416	100	32.0
2	1277	101	31.5
2	110	102	31.5
2	1342	103	31.5
2	987	104	31.5
2	157	105	31.5
2	163	106	31.5
2	80	107	31.5
2	1202	108	31.5
2	739	109	31.5
2	1370	110	31.5
2	1066	111	31.5
2	100	112	31.5
2	62	113	31.0
2	1300	114	31.0
2	174	115	31.0
2	806	116	31.0
2	149	117	31.0
2	917	118	31.0
2	101	119	31.0
2	25	120	31.0
2	341	121	30.5
2	29	122	30.5
2	395	123	30.5
2	401	124	30.5
2	660	125	30.5
2	1292	126	30.5
2	717	127	30.5
2	202	128	30.5
2	325	129	30.0
2	986	130	30.0
2	677	131	30.0
2	903	132	30.0
2	1325	133	30.0
2	274	134	30.0
2	1352	135	30.0
2	1104	136	30.0
2	92	137	30.0
2	289	138	30.0
2	484	139	30.0
2	334	140	30.0
2	1303	141	30.0
2	810	142	29.5
2	12	143	29.5
2	1380	144	29.5
2	934	145	29.5
2	1092	146	29.5
2	156	147	29.5
2	288	148	29.0
2	1351	149	29.0
2	1095	150	29.0
2	187	151	29.0
2	734	152	29.0
2	933	153	29.0
2	1246	154	29.0
2	1383	155	29.0
2	300	156	29.0
2	1250	157	28.5
2	1263	158	28.5
2	177	159	28.5
2	441	160	28.5
2	342	161	28.5
2	889	162	28.5
2	991	163	28.5
2	476	164	28.5
2	77	165	28.5
2	696	166	28.5
2	794	167	28.5
2	1199	168	28.5
2	204	169	28.5
2	1224	170	28.5
2	685	171	28.5
2	563	172	28.0
2	1307	173	28.0
2	704	174	28.0
2	124	175	28.0
2	197	176	28.0
2	767	177	28.0
2	1271	178	28.0
2	845	179	28.0
2	1134	180	28.0
2	1373	181	27.5
2	1195	182	27.5
2	166	183	27.5
2	683	184	27.5
2	304	185	27.5
2	1175	186	27.5
2	9	187	27.0
2	375	188	27.0
2	59	189	27.0
2	443	190	27.0
2	828	191	27.0
2	47	192	27.0
2	414	193	27.0
2	114	194	27.0
2	229	195	27.0
2	328	196	27.0
2	213	197	27.0
2	129	198	27.0
2	1218	199	27.0
2	844	200	26.5
3	798	1	31.5
3	329	2	27.5
3	826	3	27.0
3	1313	4	26.0
3	131	5	26.0
3	1201	6	25.5
3	927	7	25.5
3	695	8	25.0
3	73	9	23.0
3	89	10	23.0
3	662	11	23.0
3	499	12	23.0
3	262	13	22.5
3	49	14	22.0
3	1147	15	22.0
3	730	16	22.0
3	1072	17	21.5
3	344	18	21.5
3	792	19	21.5
3	225	20	21.0
3	1040	21	21.0
3	99	22	21.0
3	1047	23	20.0
3	244	24	20.0
3	992	25	20.0
3	1204	26	20.0
3	717	27	20.0
3	576	28	19.5
3	874	29	19.5
3	1268	30	19.5
3	721	31	19.5
3	712	32	19.5
3	1392	33	19.0
3	658	34	19.0
3	673	35	19.0
3	928	36	19.0
3	640	37	19.0
3	962	38	18.5
3	441	39	18.5
3	83	40	18.5
3	1226	41	18.0
3	395	42	18.0
3	704	43	18.0
3	1104	44	18.0
3	889	45	18.0
3	77	46	18.0
3	210	47	18.0
3	202	48	18.0
3	33	49	17.5
3	140	50	17.5
3	934	51	17.5
3	947	52	17.5
3	976	53	17.0
3	1039	54	17.0
3	189	55	17.0
3	342	56	17.0
3	980	57	17.0
3	132	58	17.0
3	240	59	17.0
3	364	60	17.0
3	94	61	16.5
3	452	62	16.5
3	193	63	16.5
3	572	64	16.5
3	1119	65	16.5
3	174	66	16.5
3	656	67	16.5
3	277	68	16.5
3	433	69	16.0
3	442	70	16.0
3	625	71	16.0
3	1290	72	16.0
3	828	73	16.0
3	315	74	16.0
3	707	75	16.0
3	82	76	16.0
3	1352	77	16.0
3	185	78	16.0
3	1335	79	16.0
3	414	80	16.0
3	85	81	16.0
3	1061	82	16.0
3	1292	83	16.0
3	417	84	16.0
3	373	85	16.0
3	1209	86	16.0
3	1277	87	15.5
3	44	88	15.5
3	1307	89	15.5
3	170	90	15.5
3	1115	91	15.5
3	1336	92	15.5
3	564	93	15.5
3	1333	94	15.5
3	1239	95	15.5
3	151	96	15.5
3	9	97	15.0
3	987	98	15.0
3	782	99	15.0
3	29	100	15.0
3	1225	101	15.0
3	635	102	15.0
3	1375	103	15.0
3	529	104	15.0
3	199	105	15.0
3	1082	106	15.0
3	212	107	15.0
3	270	108	15.0
3	811	109	15.0
3	1213	110	14.5
3	110	111	14.5
3	325	112	14.5
3	155	113	14.5
3	459	114	14.5
3	1322	115	14.5
3	797	116	14.5
3	168	117	14.5
3	1382	118	14.5
3	946	119	14.5
3	739	120	14.5
3	872	121	14.5
3	45	122	14.5
3	588	123	14.5
3	197	124	14.5
3	1108	125	14.5
3	733	126	14.5
3	101	127	14.5
3	827	128	14.5
3	1263	129	14.0
3	579	130	14.0
3	466	131	14.0
3	689	132	14.0
3	1325	133	14.0
3	1144	134	14.0
3	427	135	14.0
3	14	136	14.0
3	401	137	14.0
3	991	138	14.0
3	1169	139	14.0
3	560	140	14.0
3	767	141	14.0
3	216	142	14.0
3	1300	143	14.0
3	198	144	14.0
3	808	145	14.0
3	542	146	14.0
3	917	147	14.0
3	272	148	14.0
3	96	149	14.0
3	1218	150	14.0
3	1134	151	14.0
3	1351	152	13.5
3	731	153	13.5
3	820	154	13.5
3	1342	155	13.5
3	561	156	13.5
3	677	157	13.5
3	734	158	13.5
3	1381	159	13.5
3	1097	160	13.5
3	933	161	13.5
3	1167	162	13.5
3	434	163	13.5
3	56	164	13.5
3	649	165	13.5
3	710	166	13.5
3	165	167	13.5
3	247	168	13.5
3	24	169	13.5
3	252	170	13.5
3	144	171	13.5
3	589	172	13.0
3	675	173	13.0
3	179	174	13.0
3	740	175	13.0
3	766	176	13.0
3	206	177	13.0
3	869	178	13.0
3	599	179	13.0
3	1122	180	13.0
3	274	181	13.0
3	476	182	13.0
3	1098	183	13.0
3	66	184	13.0
3	1220	185	13.0
3	304	186	13.0
3	773	187	13.0
3	234	188	13.0
3	1244	189	13.0
3	806	190	13.0
3	266	191	13.0
3	732	192	13.0
3	129	193	13.0
3	458	194	13.0
3	692	195	12.5
3	584	196	12.5
3	187	197	12.5
3	620	198	12.5
