Query_ID	Doc_ID	Rank	Score
1	809	1	3.0
1	56	2	3.0
1	174	3	3.0
1	204	4	3.0
1	766	5	2.5
1	57	6	2.5
1	991	7	2.5
1	808	8	2.5
1	340	9	2.5
1	792	10	2.5
1	248	11	2.5
1	435	12	2.0
1	692	13	2.0
1	858	14	2.0
1	857	15	2.0
1	992	16	2.0
1	1246	17	2.0
1	816	18	2.0
1	1167	19	2.0
1	82	20	2.0
1	1352	21	2.0
1	92	22	2.0
1	470	23	2.0
1	815	24	2.0
1	430	25	2.0
1	1163	26	2.0
1	211	27	2.0
1	695	28	2.0
1	693	29	2.0
1	300	30	2.0
1	801	31	1.5
1	1349	32	1.5
1	384	33	1.5
1	433	34	1.5
1	442	35	1.5
1	440	36	1.5
1	1374	37	1.5
1	1095	38	1.5
1	945	39	1.5
1	1096	40	1.5
1	429	41	1.5
1	781	42	1.5
1	911	43	1.5
1	634	44	1.5
1	711	45	1.5
1	689	46	1.5
1	999	47	1.5
1	546	48	1.5
1	985	49	1.5
1	1159	50	1.5
1	1124	51	1.5
1	1165	52	1.5
1	874	53	1.5
1	51	54	1.5
1	441	55	1.5
1	1268	56	1.5
1	1337	57	1.5
1	946	58	1.5
1	12	59	1.5
1	796	60	1.5
1	1094	61	1.5
1	1387	62	1.5
1	980	63	1.5
1	849	64	1.5
1	316	65	1.5
1	13	66	1.5
1	203	67	1.5
1	1162	68	1.5
1	124	69	1.5
1	560	70	1.5
1	747	71	1.5
1	1328	72	1.5
1	260	73	1.5
1	197	74	1.5
1	1143	75	1.5
1	713	76	1.5
1	309	77	1.5
1	859	78	1.5
1	934	79	1.5
1	1292	80	1.5
1	798	81	1.5
1	746	82	1.5
1	277	83	1.5
1	685	84	1.5
1	1338	85	1.5
1	686	86	1.5
1	252	87	1.5
1	1065	88	1.5
1	1073	89	1.5
1	1012	90	1.5
1	567	91	1.5
1	927	92	1.5
1	482	93	1.5
1	492	94	1.0
1	1250	95	1.0
1	1111	96	1.0
1	596	97	1.0
1	102	98	1.0
1	880	99	1.0
1	119	100	1.0
1	1085	101	1.0
1	1041	102	1.0
1	725	103	1.0
1	549	104	1.0
1	8	105	1.0
1	844	106	1.0
1	1362	107	1.0
1	1351	108	1.0
1	423	109	1.0
1	238	110	1.0
1	802	111	1.0
1	876	112	1.0
1	287	113	1.0
1	860	114	1.0
1	1342	115	1.0
1	122	116	1.0
1	243	117	1.0
1	799	118	1.0
1	1322	119	1.0
1	286	120	1.0
1	1120	121	1.0
1	1062	122	1.0
1	481	123	1.0
1	987	124	1.0
1	740	125	1.0
1	986	126	1.0
1	924	127	1.0
1	311	128	1.0
1	1314	129	1.0
1	797	130	1.0
1	1323	131	1.0
1	909	132	1.0
1	1089	133	1.0
1	1156	134	1.0
1	584	135	1.0
1	847	136	1.0
1	984	137	1.0
1	187	138	1.0
1	888	139	1.0
1	1063	140	1.0
1	59	141	1.0
1	61	142	1.0
1	349	143	1.0
1	264	144	1.0
1	1226	145	1.0
1	466	146	1.0
1	120	147	1.0
1	244	148	1.0
1	454	149	1.0
1	193	150	1.0
1	979	151	1.0
1	1131	152	1.0
1	548	153	1.0
1	734	154	1.0
1	904	155	1.0
1	1381	156	1.0
1	128	157	1.0
1	540	158	1.0
1	757	159	1.0
1	1164	160	1.0
1	1305	161	1.0
1	123	162	1.0
1	1260	163	1.0
1	1177	164	1.0
1	206	165	1.0
1	1307	166	1.0
1	1225	167	1.0
1	209	168	1.0
1	279	169	1.0
1	532	170	1.0
1	479	171	1.0
1	489	172	1.0
1	498	173	1.0
1	1382	174	1.0
1	1217	175	1.0
1	552	176	1.0
1	1122	177	1.0
1	700	178	1.0
1	755	179	1.0
1	396	180	1.0
1	865	181	1.0
1	80	182	1.0
1	655	183	1.0
1	269	184	1.0
1	1392	185	1.0
1	177	186	1.0
1	516	187	1.0
1	1201	188	1.0
1	683	189	1.0
1	1051	190	1.0
1	215	191	1.0
1	405	192	1.0
1	47	193	1.0
1	606	194	1.0
1	189	195	1.0
1	84	196	1.0
1	566	197	1.0
1	824	198	1.0
1	810	199	1.0
1	523	200	1.0
2	174	1	5.5
2	56	2	4.5
2	204	3	4.5
2	858	4	4.0
2	809	5	4.0
2	798	6	4.0
2	596	7	3.5
2	683	8	3.5
2	1094	9	3.5
2	470	10	3.5
2	430	11	3.5
2	1000	12	3.5
2	1082	13	3.5
2	715	14	3.5
2	1163	15	3.5
2	688	16	3.5
2	248	17	3.5
2	482	18	3.5
2	435	19	3.0
2	692	20	3.0
2	766	21	3.0
2	57	22	3.0
2	999	23	3.0
2	1164	24	3.0
2	1386	25	3.0
2	206	26	3.0
2	992	27	3.0
2	1165	28	3.0
2	816	29	3.0
2	12	30	3.0
2	691	31	3.0
2	82	32	3.0
2	1352	33	3.0
2	92	34	3.0
2	316	35	3.0
2	1162	36	3.0
2	991	37	3.0
2	560	38	3.0
2	246	39	3.0
2	1077	40	3.0
2	815	41	3.0
2	229	42	3.0
2	197	43	3.0
2	705	44	3.0
2	934	45	3.0
2	808	46	3.0
2	340	47	3.0
2	746	48	3.0
2	792	49	3.0
2	300	50	3.0
2	288	51	2.5
2	801	52	2.5
2	238	53	2.5
2	122	54	2.5
2	433	55	2.5
2	440	56	2.5
2	275	57	2.5
2	1095	58	2.5
2	187	59	2.5
2	781	60	2.5
2	1343	61	2.5
2	979	62	2.5
2	689	63	2.5
2	548	64	2.5
2	857	65	2.5
2	1381	66	2.5
2	757	67	2.5
2	1260	68	2.5
2	1290	69	2.5
2	479	70	2.5
2	1382	71	2.5
2	1246	72	2.5
2	700	73	2.5
2	1392	74	2.5
2	1167	75	2.5
2	946	76	2.5
2	796	77	2.5
2	1115	78	2.5
2	434	79	2.5
2	1387	80	2.5
2	980	81	2.5
2	28	82	2.5
2	511	83	2.5
2	600	84	2.5
2	613	85	2.5
2	727	86	2.5
2	260	87	2.5
2	713	88	2.5
2	1344	89	2.5
2	211	90	2.5
2	795	91	2.5
2	1113	92	2.5
2	277	93	2.5
2	695	94	2.5
2	693	95	2.5
2	675	96	2.0
2	563	97	2.0
2	604	98	2.0
2	1085	99	2.0
2	882	100	2.0
2	549	101	2.0
2	8	102	2.0
2	1349	103	2.0
2	1351	104	2.0
2	654	105	2.0
2	731	106	2.0
2	802	107	2.0
2	322	108	2.0
2	367	109	2.0
2	243	110	2.0
2	442	111	2.0
2	1322	112	2.0
2	1327	113	2.0
2	1005	114	2.0
2	420	115	2.0
2	987	116	2.0
2	1374	117	2.0
2	986	118	2.0
2	924	119	2.0
2	239	120	2.0
2	49	121	2.0
2	782	122	2.0
2	797	123	2.0
2	1384	124	2.0
2	1156	125	2.0
2	1096	126	2.0
2	429	127	2.0
2	1063	128	2.0
2	911	129	2.0
2	59	130	2.0
2	935	131	2.0
2	1226	132	2.0
2	466	133	2.0
2	1131	134	2.0
2	734	135	2.0
2	904	136	2.0
2	985	137	2.0
2	768	138	2.0
2	123	139	2.0
2	1307	140	2.0
2	1225	141	2.0
2	1159	142	2.0
2	409	143	2.0
2	43	144	2.0
2	1124	145	2.0
2	443	146	2.0
2	489	147	2.0
2	170	148	2.0
2	478	149	2.0
2	396	150	2.0
2	874	151	2.0
2	80	152	2.0
2	655	153	2.0
2	269	154	2.0
2	1008	155	2.0
2	51	156	2.0
2	516	157	2.0
2	1051	158	2.0
2	441	159	2.0
2	1240	160	2.0
2	1337	161	2.0
2	55	162	2.0
2	606	163	2.0
2	1010	164	2.0
2	702	165	2.0
2	810	166	2.0
2	1009	167	2.0
2	422	168	2.0
2	614	169	2.0
2	73	170	2.0
2	893	171	2.0
2	877	172	2.0
2	618	173	2.0
2	839	174	2.0
2	849	175	2.0
2	751	176	2.0
2	203	177	2.0
2	848	178	2.0
2	716	179	2.0
2	426	180	2.0
2	124	181	2.0
2	280	182	2.0
2	173	183	2.0
2	1139	184	2.0
2	1328	185	2.0
2	445	186	2.0
2	58	187	2.0
2	1007	188	2.0
2	1011	189	2.0
2	1107	190	2.0
2	289	191	2.0
2	1130	192	2.0
2	1287	193	2.0
2	712	194	2.0
2	309	195	2.0
2	431	196	2.0
2	783	197	2.0
2	1001	198	2.0
2	1153	199	2.0
2	779	200	2.0
3	584	1	3.0
3	809	2	3.0
3	399	3	3.0
3	174	4	3.0
3	340	5	3.0
3	119	6	2.5
3	766	7	2.5
3	689	8	2.5
3	1159	9	2.5
3	992	10	2.5
3	1115	11	2.5
3	82	12	2.5
3	56	13	2.5
3	808	14	2.5
3	695	15	2.5
3	1073	16	2.5
3	604	17	2.0
3	435	18	2.0
3	692	19	2.0
3	858	20	2.0
3	57	21	2.0
3	1096	22	2.0
3	1226	23	2.0
3	857	24	2.0
3	586	25	2.0
3	1290	26	2.0
3	816	27	2.0
3	269	28	2.0
3	946	29	2.0
3	1094	30	2.0
3	1352	31	2.0
3	181	32	2.0
3	980	33	2.0
3	132	34	2.0
3	991	35	2.0
3	560	36	2.0
3	529	37	2.0
3	470	38	2.0
3	815	39	2.0
3	260	40	2.0
3	204	41	2.0
3	240	42	2.0
3	693	43	2.0
3	248	44	2.0
3	300	45	2.0
3	252	46	2.0
3	144	47	2.0
3	1213	48	1.5
3	801	49	1.5
3	1041	50	1.5
3	1349	51	1.5
3	802	52	1.5
3	384	53	1.5
3	122	54	1.5
3	433	55	1.5
3	442	56	1.5
3	1322	57	1.5
3	440	58	1.5
3	987	59	1.5
3	1374	60	1.5
3	1095	61	1.5
3	579	62	1.5
3	1156	63	1.5
3	187	64	1.5
3	781	65	1.5
3	61	66	1.5
3	466	67	1.5
3	120	68	1.5
3	634	69	1.5
3	711	70	1.5
3	873	71	1.5
3	734	72	1.5
3	999	73	1.5
3	546	74	1.5
3	1381	75	1.5
3	985	76	1.5
3	540	77	1.5
3	1307	78	1.5
3	1225	79	1.5
3	532	80	1.5
3	479	81	1.5
3	635	82	1.5
3	1217	83	1.5
3	1122	84	1.5
3	1246	85	1.5
3	396	86	1.5
3	1165	87	1.5
3	5	88	1.5
3	655	89	1.5
3	1337	90	1.5
3	566	91	1.5
3	1167	92	1.5
3	523	93	1.5
3	796	94	1.5
3	383	95	1.5
3	1221	96	1.5
3	691	97	1.5
3	73	98	1.5
3	294	99	1.5
3	944	100	1.5
3	633	101	1.5
3	849	102	1.5
3	1180	103	1.5
3	1162	104	1.5
3	1	105	1.5
3	363	106	1.5
3	124	107	1.5
3	173	108	1.5
3	1328	109	1.5
3	1077	110	1.5
3	298	111	1.5
3	445	112	1.5
3	45	113	1.5
3	430	114	1.5
3	1204	115	1.5
3	705	116	1.5
3	713	117	1.5
3	1163	118	1.5
3	54	119	1.5
3	211	120	1.5
3	1153	121	1.5
3	267	122	1.5
3	934	123	1.5
3	862	124	1.5
3	1393	125	1.5
3	1292	126	1.5
3	339	127	1.5
3	798	128	1.5
3	1367	129	1.5
3	1066	130	1.5
3	135	131	1.5
3	303	132	1.5
3	542	133	1.5
3	485	134	1.5
3	247	135	1.5
3	23	136	1.5
3	277	137	1.5
3	743	138	1.5
3	24	139	1.5
3	917	140	1.5
3	1360	141	1.5
3	1338	142	1.5
3	1363	143	1.5
3	686	144	1.5
3	1065	145	1.5
3	947	146	1.5
3	218	147	1.5
3	567	148	1.5
3	927	149	1.5
3	482	150	1.5
3	232	151	1.5
3	492	152	1.0
3	387	153	1.0
3	539	154	1.0
3	109	155	1.0
3	544	156	1.0
3	596	157	1.0
3	563	158	1.0
3	1085	159	1.0
3	534	160	1.0
3	549	161	1.0
3	8	162	1.0
3	682	163	1.0
3	844	164	1.0
3	807	165	1.0
3	1281	166	1.0
3	112	167	1.0
3	1351	168	1.0
3	423	169	1.0
3	238	170	1.0
3	603	171	1.0
3	287	172	1.0
3	860	173	1.0
3	447	174	1.0
3	1342	175	1.0
3	1112	176	1.0
3	854	177	1.0
3	243	178	1.0
3	799	179	1.0
3	976	180	1.0
3	286	181	1.0
3	1120	182	1.0
3	481	183	1.0
3	740	184	1.0
3	963	185	1.0
3	350	186	1.0
3	1377	187	1.0
3	986	188	1.0
3	706	189	1.0
3	924	190	1.0
3	1183	191	1.0
3	1355	192	1.0
3	1223	193	1.0
3	642	194	1.0
3	1298	195	1.0
3	11	196	1.0
3	208	197	1.0
3	524	198	1.0
3	49	199	1.0
3	1314	200	1.0
4	56	1	5.5
4	1082	2	5.5
4	174	3	5.5
4	340	4	5.5
4	692	5	5.0
4	809	6	5.0
4	470	7	5.0
4	992	8	4.5
4	269	9	4.5
4	683	10	4.5
4	946	11	4.5
4	1139	12	4.5
4	1077	13	4.5
4	204	14	4.5
4	693	15	4.5
4	300	16	4.5
4	57	17	4.0
4	797	18	4.0
4	206	19	4.0
4	691	20	4.0
4	1094	21	4.0
4	82	22	4.0
4	28	23	4.0
4	751	24	4.0
4	511	25	4.0
4	991	26	4.0
4	560	27	4.0
4	173	28	4.0
4	1287	29	4.0
4	696	30	4.0
4	798	31	4.0
4	695	32	4.0
4	482	33	4.0
4	488	34	3.5
4	238	35	3.5
4	122	36	3.5
4	858	37	3.5
4	561	38	3.5
4	61	39	3.5
4	789	40	3.5
4	689	41	3.5
4	1260	42	3.5
4	1159	43	3.5
4	1382	44	3.5
4	816	45	3.5
4	796	46	3.5
4	1115	47	3.5
4	246	48	3.5
4	260	49	3.5
4	197	50	3.5
4	705	51	3.5
4	410	52	3.5
4	808	53	3.5
4	1312	54	3.5
4	970	55	3.5
4	96	56	3.5
4	249	57	3.5
4	1338	58	3.5
4	248	59	3.5
4	1065	60	3.5
4	1073	61	3.5
4	227	62	3.5
4	596	63	3.0
4	604	64	3.0
4	435	65	3.0
4	1085	66	3.0
4	1349	67	3.0
4	1351	68	3.0
4	802	69	3.0
4	433	70	3.0
4	1322	71	3.0
4	440	72	3.0
4	766	73	3.0
4	1323	74	3.0
4	546	75	3.0
4	382	76	3.0
4	985	77	3.0
4	409	78	3.0
4	166	79	3.0
4	755	80	3.0
4	1165	81	3.0
4	1167	82	3.0
4	523	83	3.0
4	1352	84	3.0
4	877	85	3.0
4	314	86	3.0
4	849	87	3.0
4	1180	88	3.0
4	1162	89	3.0
4	848	90	3.0
4	690	91	3.0
4	445	92	3.0
4	430	93	3.0
4	1143	94	3.0
4	988	95	3.0
4	713	96	3.0
4	1208	97	3.0
4	1163	98	3.0
4	783	99	3.0
4	211	100	3.0
4	1153	101	3.0
4	1081	102	3.0
4	779	103	3.0
4	665	104	3.0
4	125	105	3.0
4	994	106	3.0
4	1284	107	3.0
4	1292	108	3.0
4	1367	109	3.0
4	1276	110	3.0
4	499	111	3.0
4	4	112	3.0
4	247	113	3.0
4	917	114	3.0
4	1252	115	3.0
4	1133	116	3.0
4	771	117	3.0
4	205	118	2.5
4	288	119	2.5
4	535	120	2.5
4	801	121	2.5
4	191	122	2.5
4	423	123	2.5
4	481	124	2.5
4	987	125	2.5
4	1078	126	2.5
4	924	127	2.5
4	311	128	2.5
4	275	129	2.5
4	208	130	2.5
4	984	131	2.5
4	1096	132	2.5
4	375	133	2.5
4	466	134	2.5
4	634	135	2.5
4	711	136	2.5
4	326	137	2.5
4	1131	138	2.5
4	495	139	2.5
4	548	140	2.5
4	734	141	2.5
