Query_ID	Doc_ID	Rank	Score
1	792	1	2.0
1	435	2	1.5
1	584	3	1.5
1	315	4	1.5
1	51	5	1.5
1	606	6	1.5
1	1147	7	1.5
1	316	8	1.5
1	13	9	1.5
1	747	10	1.5
1	571	11	1.5
1	746	12	1.5
1	1250	13	1.0
1	1111	14	1.0
1	876	15	1.0
1	1263	16	1.0
1	799	17	1.0
1	945	18	1.0
1	429	19	1.0
1	1063	20	1.0
1	29	21	1.0
1	193	22	1.0
1	1124	23	1.0
1	635	24	1.0
1	168	25	1.0
1	1246	26	1.0
1	700	27	1.0
1	874	28	1.0
1	5	29	1.0
1	655	30	1.0
1	707	31	1.0
1	215	32	1.0
1	1268	33	1.0
1	566	34	1.0
1	359	35	1.0
1	12	36	1.0
1	141	37	1.0
1	1380	38	1.0
1	666	39	1.0
1	56	40	1.0
1	1144	41	1.0
1	92	42	1.0
1	638	43	1.0
1	378	44	1.0
1	203	45	1.0
1	280	46	1.0
1	1328	47	1.0
1	879	48	1.0
1	800	49	1.0
1	430	50	1.0
1	486	51	1.0
1	1155	52	1.0
1	309	53	1.0
1	1163	54	1.0
1	436	55	1.0
1	52	56	1.0
1	184	57	1.0
1	1300	58	1.0
1	564	59	1.0
1	662	60	1.0
1	1340	61	1.0
1	303	62	1.0
1	1303	63	1.0
1	438	64	1.0
1	204	65	1.0
1	875	66	1.0
1	670	67	1.0
1	663	68	1.0
1	101	69	1.0
1	391	70	1.0
1	253	71	1.0
1	387	72	0.5
1	1213	73	0.5
1	539	74	0.5
1	81	75	0.5
1	102	76	0.5
1	563	77	0.5
1	880	78	0.5
1	179	79	0.5
1	119	80	0.5
1	982	81	0.5
1	725	82	0.5
1	549	83	0.5
1	555	84	0.5
1	142	85	0.5
1	1362	86	0.5
1	7	87	0.5
1	1281	88	0.5
1	238	89	0.5
1	325	90	0.5
1	287	91	0.5
1	860	92	0.5
1	37	93	0.5
1	447	94	0.5
1	433	95	0.5
1	631	96	0.5
1	442	97	0.5
1	1315	98	0.5
1	1274	99	0.5
1	671	100	0.5
1	976	101	0.5
1	1062	102	0.5
1	774	103	0.5
1	963	104	0.5
1	350	105	0.5
1	924	106	0.5
1	311	107	0.5
1	1095	108	0.5
1	239	109	0.5
1	524	110	0.5
1	226	111	0.5
1	57	112	0.5
1	1314	113	0.5
1	797	114	0.5
1	909	115	0.5
1	1089	116	0.5
1	579	117	0.5
1	1211	118	0.5
1	1002	119	0.5
1	925	120	0.5
1	1096	121	0.5
1	754	122	0.5
1	160	123	0.5
1	781	124	0.5
1	911	125	0.5
1	349	126	0.5
1	962	127	0.5
1	264	128	0.5
1	1226	129	0.5
1	120	130	0.5
1	1395	131	0.5
1	244	132	0.5
1	789	133	0.5
1	711	134	0.5
1	878	135	0.5
1	873	136	0.5
1	1341	137	0.5
1	1197	138	0.5
1	973	139	0.5
1	689	140	0.5
1	904	141	0.5
1	1091	142	0.5
1	1084	143	0.5
1	546	144	0.5
1	540	145	0.5
1	586	146	0.5
1	1064	147	0.5
1	1164	148	0.5
1	1090	149	0.5
1	1305	150	0.5
1	1386	151	0.5
1	1177	152	0.5
1	1307	153	0.5
1	209	154	0.5
1	1159	155	0.5
1	509	156	0.5
1	776	157	0.5
1	518	158	0.5
1	493	159	0.5
1	354	160	0.5
1	552	161	0.5
1	630	162	0.5
1	814	163	0.5
1	755	164	0.5
1	522	165	0.5
1	396	166	0.5
1	1165	167	0.5
1	40	168	0.5
1	80	169	0.5
1	269	170	0.5
1	516	171	0.5
1	395	172	0.5
1	1201	173	0.5
1	6	174	0.5
1	683	175	0.5
1	441	176	0.5
1	572	177	0.5
1	47	178	0.5
1	55	179	0.5
1	1264	180	0.5
1	60	181	0.5
1	704	182	0.5
1	861	183	0.5
1	810	184	0.5
1	585	185	0.5
1	1167	186	0.5
1	513	187	0.5
1	158	188	0.5
1	796	189	0.5
1	383	190	0.5
1	413	191	0.5
1	1339	192	0.5
1	1289	193	0.5
1	82	194	0.5
1	294	195	0.5
1	1389	196	0.5
1	877	197	0.5
1	687	198	0.5
1	181	199	0.5
1	1166	200	0.5
2	746	1	2.5
2	792	2	2.5
2	700	3	2.0
2	12	4	2.0
2	1246	5	1.5
2	606	6	1.5
2	810	7	1.5
2	141	8	1.5
2	1380	9	1.5
2	92	10	1.5
2	316	11	1.5
2	1250	12	1.0
2	1111	13	1.0
2	435	14	1.0
2	725	15	1.0
2	876	16	1.0
2	799	17	1.0
2	1095	18	1.0
2	945	19	1.0
2	909	20	1.0
2	429	21	1.0
2	1063	22	1.0
2	911	23	1.0
2	264	24	1.0
2	193	25	1.0
2	1124	26	1.0
2	315	27	1.0
2	51	28	1.0
2	395	29	1.0
2	215	30	1.0
2	47	31	1.0
2	833	32	1.0
2	497	33	1.0
2	1147	34	1.0
2	638	35	1.0
2	203	36	1.0
2	883	37	1.0
2	280	38	1.0
2	747	39	1.0
2	571	40	1.0
2	430	41	1.0
2	1155	42	1.0
2	70	43	1.0
2	712	44	1.0
2	309	45	1.0
2	52	46	1.0
2	1379	47	1.0
2	1303	48	1.0
2	204	49	1.0
2	663	50	1.0
2	101	51	1.0
2	391	52	1.0
2	253	53	1.0
2	1012	54	1.0
2	723	55	0.5
2	179	56	0.5
2	1041	57	0.5
2	549	58	0.5
2	142	59	0.5
2	7	60	0.5
2	777	61	0.5
2	238	62	0.5
2	1170	63	0.5
2	654	64	0.5
2	731	65	0.5
2	726	66	0.5
2	322	67	0.5
2	287	68	0.5
2	860	69	0.5
2	1263	70	0.5
2	447	71	0.5
2	433	72	0.5
2	854	73	0.5
2	631	74	0.5
2	442	75	0.5
2	1315	76	0.5
2	1274	77	0.5
2	671	78	0.5
2	835	79	0.5
2	976	80	0.5
2	1327	81	0.5
2	1005	82	0.5
2	1062	83	0.5
2	774	84	0.5
2	1377	85	0.5
2	75	86	0.5
2	924	87	0.5
2	505	88	0.5
2	1198	89	0.5
2	275	90	0.5
2	11	91	0.5
2	239	92	0.5
2	226	93	0.5
2	1314	94	0.5
2	561	95	0.5
2	797	96	0.5
2	1089	97	0.5
2	1211	98	0.5
2	1002	99	0.5
2	925	100	0.5
2	781	101	0.5
2	787	102	0.5
2	244	103	0.5
2	711	104	0.5
2	1341	105	0.5
2	979	106	0.5
2	1138	107	0.5
2	1197	108	0.5
2	904	109	0.5
2	1084	110	0.5
2	1331	111	0.5
2	195	112	0.5
2	540	113	0.5
2	1305	114	0.5
2	720	115	0.5
2	724	116	0.5
2	209	117	0.5
2	776	118	0.5
2	30	119	0.5
2	1217	120	0.5
2	552	121	0.5
2	1311	122	0.5
2	630	123	0.5
2	814	124	0.5
2	1165	125	0.5
2	874	126	0.5
2	40	127	0.5
2	80	128	0.5
2	655	129	0.5
2	1392	130	0.5
2	1008	131	0.5
2	516	132	0.5
2	683	133	0.5
2	707	134	0.5
2	441	135	0.5
2	648	136	0.5
2	572	137	0.5
2	1268	138	0.5
2	1240	139	0.5
2	1010	140	0.5
2	60	141	0.5
2	704	142	0.5
2	566	143	0.5
2	585	144	0.5
2	1167	145	0.5
2	1009	146	0.5
2	513	147	0.5
2	762	148	0.5
2	650	149	0.5
2	796	150	0.5
2	93	151	0.5
2	413	152	0.5
2	1339	153	0.5
2	1289	154	0.5
2	884	155	0.5
2	666	156	0.5
2	171	157	0.5
2	687	158	0.5
2	181	159	0.5
2	1166	160	0.5
2	1144	161	0.5
2	225	162	0.5
2	378	163	0.5
2	406	164	0.5
2	1212	165	0.5
2	679	166	0.5
2	444	167	0.5
2	414	168	0.5
2	574	169	0.5
2	914	170	0.5
2	991	171	0.5
2	834	172	0.5
2	363	173	0.5
2	916	174	0.5
2	176	175	0.5
2	1169	176	0.5
2	568	177	0.5
2	1320	178	0.5
2	519	179	0.5
2	1328	180	0.5
2	1114	181	0.5
2	1285	182	0.5
2	790	183	0.5
2	879	184	0.5
2	800	185	0.5
2	1098	186	0.5
2	1000	187	0.5
2	1007	188	0.5
2	304	189	0.5
2	197	190	0.5
2	715	191	0.5
2	222	192	0.5
2	1011	193	0.5
2	1143	194	0.5
2	83	195	0.5
2	1130	196	0.5
2	923	197	0.5
2	1215	198	0.5
2	1361	199	0.5
2	242	200	0.5
3	5	1	2.0
3	399	2	2.0
3	584	3	1.5
3	181	4	1.5
3	485	5	1.5
3	144	6	1.5
3	119	7	1.0
3	142	8	1.0
3	90	9	1.0
3	586	10	1.0
3	518	11	1.0
3	168	12	1.0
3	269	13	1.0
3	6	14	1.0
3	585	15	1.0
3	944	16	1.0
3	66	17	1.0
3	981	18	1.0
3	662	19	1.0
3	303	20	1.0
3	542	21	1.0
3	91	22	1.0
3	1073	23	1.0
3	387	24	0.5
3	1213	25	0.5
3	539	26	0.5
3	81	27	0.5
3	435	28	0.5
3	982	29	0.5
3	555	30	0.5
3	1362	31	0.5
3	1281	32	0.5
3	112	33	0.5
3	777	34	0.5
