Query_ID	Doc_ID	Rank	Score
1	792	1	24.5
1	798	2	24.0
1	1313	3	23.0
1	131	4	23.0
1	1147	5	22.5
1	1144	6	20.0
1	640	7	19.5
1	717	8	18.5
1	262	9	18.5
1	244	10	18.0
1	826	11	17.5
1	14	12	17.5
1	695	13	17.5
1	927	14	17.5
1	1047	15	17.0
1	576	16	17.0
1	1201	17	17.0
1	1268	18	16.5
1	89	19	16.5
1	499	20	16.5
1	928	21	16.5
1	193	22	16.0
1	51	23	16.0
1	82	24	16.0
1	721	25	16.0
1	83	26	16.0
1	433	27	15.5
1	874	28	15.5
1	658	29	15.5
1	588	30	15.5
1	673	31	15.5
1	1239	32	15.5
1	373	33	15.5
1	1277	34	15.0
1	1392	35	15.0
1	73	36	15.0
1	730	37	15.0
1	992	38	14.5
1	56	39	14.5
1	710	40	14.5
1	140	41	14.5
1	96	42	14.5
1	962	43	14.0
1	1167	44	14.0
1	946	45	14.0
1	1040	46	14.0
1	662	47	14.0
1	151	48	14.0
1	156	49	14.0
1	704	50	13.5
1	991	51	13.5
1	1244	52	13.5
1	1292	53	13.5
1	417	54	13.5
1	204	55	13.5
1	277	56	13.5
1	300	57	13.5
1	947	58	13.5
1	442	59	13.0
1	1226	60	13.0
1	189	61	13.0
1	12	62	13.0
1	1335	63	13.0
1	329	64	13.0
1	811	65	13.0
1	99	66	13.0
1	344	67	13.0
1	1218	68	13.0
1	675	69	12.5
1	9	70	12.5
1	49	71	12.5
1	315	72	12.5
1	1352	73	12.5
1	1104	74	12.5
1	414	75	12.5
1	124	76	12.5
1	1119	77	12.5
1	197	78	12.5
1	712	79	12.5
1	808	80	12.5
1	100	81	12.5
1	210	82	12.5
1	423	83	12.0
1	1342	84	12.0
1	1322	85	12.0
1	1039	86	12.0
1	170	87	12.0
1	33	88	12.0
1	92	89	12.0
1	225	90	12.0
1	889	91	12.0
1	85	92	12.0
1	114	93	12.0
1	934	94	12.0
1	917	95	12.0
1	801	96	11.5
1	1072	97	11.5
1	987	98	11.5
1	29	99	11.5
1	172	100	11.5
1	1246	101	11.5
1	828	102	11.5
1	1375	103	11.5
1	1325	104	11.5
1	747	105	11.5
1	234	106	11.5
1	211	107	11.5
1	213	108	11.5
1	1300	109	11.5
1	198	110	11.5
1	806	111	11.5
1	1338	112	11.5
1	686	113	11.5
1	252	114	11.5
1	232	115	11.5
1	435	116	11.0
1	1351	117	11.0
1	976	118	11.0
1	94	119	11.0
1	766	120	11.0
1	57	121	11.0
1	625	122	11.0
1	187	123	11.0
1	466	124	11.0
1	1341	125	11.0
1	1381	126	11.0
1	206	127	11.0
1	1307	128	11.0
1	1383	129	11.0
1	572	130	11.0
1	274	131	11.0
1	1115	132	11.0
1	434	133	11.0
1	1321	134	11.0
1	1387	135	11.0
1	132	136	11.0
1	529	137	11.0
1	815	138	11.0
1	486	139	11.0
1	1082	140	11.0
1	1061	141	11.0
1	1108	142	11.0
1	216	143	11.0
1	174	144	11.0
1	364	145	11.0
1	202	146	11.0
1	827	147	11.0
1	416	148	11.0
1	325	149	10.5
1	155	150	10.5
1	332	151	10.5
1	1035	152	10.5
1	540	153	10.5
1	163	154	10.5
1	80	155	10.5
1	441	156	10.5
1	1337	157	10.5
1	342	158	10.5
1	523	159	10.5
1	980	160	10.5
1	822	161	10.5
1	773	162	10.5
1	77	163	10.5
1	786	164	10.5
1	184	165	10.5
1	656	166	10.5
1	266	167	10.5
1	593	168	10.5
1	272	169	10.5
1	1252	170	10.5
1	685	171	10.5
1	25	172	10.5
1	42	173	10.0
1	110	174	10.0
1	858	175	10.0
1	452	176	10.0
1	797	177	10.0
1	453	178	10.0
1	1154	179	10.0
1	857	180	10.0
1	1356	181	10.0
1	1225	182	10.0
1	599	183	10.0
1	1382	184	10.0
1	1165	185	10.0
1	32	186	10.0
1	427	187	10.0
1	638	188	10.0
1	13	189	10.0
1	698	190	10.0
1	739	191	10.0
1	212	192	10.0
1	767	193	10.0
1	1303	194	10.0
1	247	195	10.0
1	1333	196	10.0
1	1347	197	10.0
1	129	198	10.0
1	253	199	10.0
1	205	200	9.5
2	1201	1	85.5
2	798	2	81.0
2	1313	3	70.0
2	329	4	61.5
2	792	5	54.5
2	927	6	54.5
2	89	7	50.5
2	417	8	50.5
2	673	9	49.5
2	499	10	49.5
2	452	11	47.5
2	1040	12	47.5
2	721	13	46.5
2	94	14	46.0
2	73	15	46.0
2	1147	16	45.0
2	131	17	45.0
2	1239	18	44.5
2	433	19	43.5
2	1144	20	43.5
2	160	21	42.0
2	1244	22	42.0
2	1047	23	41.5
2	244	24	41.0
2	992	25	40.5
2	364	26	40.5
2	928	27	40.5
2	757	28	40.0
2	522	29	40.0
2	826	30	39.5
2	140	31	39.5
2	1392	32	39.0
2	695	33	38.5
2	576	34	38.0
2	874	35	38.0
2	199	36	38.0
2	262	37	38.0
2	315	38	37.5
2	85	39	37.5
2	423	40	37.0
2	234	41	37.0
2	14	42	36.5
2	1072	43	36.0
2	49	44	36.0
2	1382	45	36.0
2	33	46	36.0
2	225	47	36.0
2	132	48	36.0
2	662	49	36.0
2	827	50	36.0
2	1226	51	35.5
2	206	52	35.5
2	82	53	35.5
2	731	54	35.0
2	797	55	35.0
2	189	56	35.0
2	1082	57	35.0
2	99	58	35.0
2	675	59	34.5
2	1198	60	34.5
2	466	61	34.5
2	1164	62	34.5
2	170	63	34.5
2	1061	64	34.5
2	277	65	34.5
2	210	66	34.5
2	272	67	34.5
2	96	68	34.5
2	373	69	34.5
2	976	70	34.0
2	962	71	34.0
2	193	72	34.0
2	1268	73	34.0
2	83	74	34.0
2	151	75	34.0
2	1248	76	33.5
2	599	77	33.5
2	173	78	33.5
2	1343	79	33.0
2	572	80	33.0
2	712	81	33.0
2	344	82	33.0
2	1209	83	33.0
2	155	84	32.5
2	625	85	32.5
2	548	86	32.5
2	51	87	32.5
2	1375	88	32.5
2	946	89	32.5
2	640	90	32.5
2	218	91	32.5
2	434	92	32.0
2	730	93	32.0
2	811	94	32.0
2	198	95	32.0
2	165	96	32.0
2	947	97	32.0
2	416	98	32.0
2	1277	99	31.5
2	1342	100	31.5
2	1066	101	31.5
2	157	102	31.0
2	163	103	31.0
2	658	104	31.0
2	62	105	31.0
2	588	106	31.0
2	341	107	30.5
