Query_ID	Doc_ID	Rank	Score
1	1147	1	25.5
1	792	2	25.5
1	798	3	25.5
1	874	4	25.0
1	51	5	24.0
1	131	6	23.5
1	1313	7	23.5
1	717	8	22.5
1	1201	9	21.0
1	244	10	20.5
1	262	11	20.5
1	640	12	20.5
1	1144	13	20.0
1	193	14	20.0
1	662	15	19.5
1	695	16	19.5
1	927	17	19.5
1	329	18	19.0
1	576	19	19.0
1	82	20	18.5
1	1040	21	18.0
1	1268	22	18.0
1	14	23	18.0
1	433	24	18.0
1	56	25	18.0
1	826	26	18.0
1	962	27	18.0
1	928	28	17.5
1	1047	29	17.0
1	1104	30	17.0
1	721	31	17.0
1	89	32	17.0
1	1226	33	16.5
1	499	34	16.5
1	83	35	16.5
1	1277	36	16.0
1	300	37	16.0
1	315	38	16.0
1	49	39	16.0
1	588	40	16.0
1	73	41	16.0
1	1239	42	15.5
1	140	43	15.5
1	373	44	15.5
1	658	45	15.5
1	673	46	15.5
1	96	47	15.5
1	1244	48	15.0
1	1392	49	15.0
1	252	50	15.0
1	272	51	15.0
1	29	52	15.0
1	414	53	15.0
1	435	54	15.0
1	486	55	15.0
1	730	56	15.0
1	976	57	15.0
1	1263	58	14.5
1	1292	59	14.5
1	1300	60	14.5
1	1335	61	14.5
1	156	62	14.5
1	344	63	14.5
1	704	64	14.5
1	710	65	14.5
1	712	66	14.5
1	947	67	14.5
1	991	68	14.5
1	992	69	14.5
1	1167	70	14.0
1	1307	71	14.0
1	1328	72	14.0
1	151	73	14.0
1	204	74	14.0
1	417	75	14.0
1	638	76	14.0
1	77	77	14.0
1	811	78	14.0
1	9	79	14.0
1	94	80	14.0
1	946	81	14.0
1	114	82	13.5
1	12	83	13.5
1	1218	84	13.5
1	197	85	13.5
1	225	86	13.5
1	277	87	13.5
1	325	88	13.5
1	33	89	13.5
1	564	90	13.5
1	572	91	13.5
1	625	92	13.5
1	707	93	13.5
1	80	94	13.5
1	85	95	13.5
1	1061	96	13.0
1	1352	97	13.0
1	170	98	13.0
1	174	99	13.0
1	189	100	13.0
1	240	101	13.0
1	274	102	13.0
1	395	103	13.0
1	442	104	13.0
