Query_ID	Doc_ID	Rank	Score
1	174	1	3.5
1	56	2	3.5
1	204	3	3.0
1	435	4	3.0
1	809	5	3.0
1	1163	6	2.5
1	248	7	2.5
1	300	8	2.5
1	340	9	2.5
1	57	10	2.5
1	584	11	2.5
1	766	12	2.5
1	792	13	2.5
1	808	14	2.5
1	82	15	2.5
1	991	16	2.5
1	1073	17	2.0
1	1096	18	2.0
1	1124	19	2.0
1	1159	20	2.0
1	1162	21	2.0
1	1167	22	2.0
1	1246	23	2.0
1	1328	24	2.0
1	1340	25	2.0
1	1352	26	2.0
1	211	27	2.0
1	252	28	2.0
1	260	29	2.0
1	316	30	2.0
1	430	31	2.0
1	433	32	2.0
1	470	33	2.0
1	51	34	2.0
1	546	35	2.0
1	560	36	2.0
1	566	37	2.0
1	655	38	2.0
1	689	39	2.0
1	692	40	2.0
1	693	41	2.0
1	695	42	2.0
1	711	43	2.0
1	747	44	2.0
1	796	45	2.0
1	815	46	2.0
1	816	47	2.0
1	857	48	2.0
1	858	49	2.0
1	874	50	2.0
1	92	51	2.0
1	927	52	2.0
1	980	53	2.0
1	992	54	2.0
1	1012	55	1.5
1	1050	56	1.5
1	1065	57	1.5
1	1094	58	1.5
1	1095	59	1.5
1	1143	60	1.5
1	1147	61	1.5
1	1155	62	1.5
1	1164	63	1.5
1	1165	64	1.5
1	1177	65	1.5
1	119	66	1.5
1	12	67	1.5
1	120	68	1.5
1	1201	69	1.5
1	1226	70	1.5
1	124	71	1.5
1	1268	72	1.5
1	1292	73	1.5
1	13	74	1.5
1	1300	75	1.5
1	1305	76	1.5
1	1307	77	1.5
1	1320	78	1.5
1	1337	79	1.5
1	1338	80	1.5
1	1349	81	1.5
1	1374	82	1.5
1	1380	83	1.5
1	1387	84	1.5
1	1393	85	1.5
1	193	86	1.5
1	197	87	1.5
1	203	88	1.5
1	215	89	1.5
1	238	90	1.5
1	240	91	1.5
1	251	92	1.5
1	269	93	1.5
1	277	94	1.5
1	29	95	1.5
1	303	96	1.5
1	309	97	1.5
1	315	98	1.5
1	384	99	1.5
1	391	100	1.5
1	396	101	1.5
1	421	102	1.5
1	429	103	1.5
1	440	104	1.5
1	441	105	1.5
1	442	106	1.5
1	482	107	1.5
1	516	108	1.5
1	564	109	1.5
1	567	110	1.5
1	571	111	1.5
1	606	112	1.5
1	634	113	1.5
1	638	114	1.5
1	662	115	1.5
1	683	116	1.5
1	685	117	1.5
1	686	118	1.5
1	707	119	1.5
1	709	120	1.5
1	713	121	1.5
1	746	122	1.5
1	781	123	1.5
1	797	124	1.5
1	798	125	1.5
1	799	126	1.5
1	80	127	1.5
1	801	128	1.5
1	849	129	1.5
1	859	130	1.5
1	877	131	1.5
1	911	132	1.5
1	924	133	1.5
1	934	134	1.5
1	945	135	1.5
1	946	136	1.5
1	985	137	1.5
1	999	138	1.5
1	1	139	1.0
1	100	140	1.0
1	1000	141	1.0
1	1001	142	1.0
1	1002	143	1.0
1	101	144	1.0
1	102	145	1.0
1	1033	146	1.0
1	104	147	1.0
1	1041	148	1.0
1	1051	149	1.0
1	1062	150	1.0
1	1063	151	1.0
1	1066	152	1.0
1	1077	153	1.0
1	1082	154	1.0
1	1085	155	1.0
1	1087	156	1.0
